iter	Passed	Remaining
724	4181	1585
725	4186	1579
726	4191	1574
727	4197	1568
728	4202	1562
729	4207	1556
730	4213	1550
731	4218	1544
732	4224	1538
733	4229	1532
734	4235	1527
735	4241	1521
736	4245	1515
737	4251	1509
738	4256	1503
739	4262	1497
740	4267	1491
741	4272	1485
742	4277	1479
743	4282	1473
744	4288	1467
745	4293	1461
746	4299	1456
747	4304	1450
748	4310	1444
749	4315	1438
750	4321	1432
751	4327	1427
752	4332	1421
753	4338	1415
754	4343	1409
755	4348	1403
756	4354	1397
757	4360	1392
758	4365	1386
759	4371	1380
760	4376	1374
761	4381	1368
762	4387	1362
763	4393	1357
764	4398	1351
765	4403	1345
766	4409	1339
767	4413	1333
768	4419	1327
769	4424	1321
770	4429	1315
771	4434	1309
772	4440	1303
773	4445	1298
774	4451	1292
775	4457	1286
776	4463	1281
777	4468	1275
778	4473	1269
779	4479	1263
780	4484	1257
781	4489	1251
782	4494	1245
783	4501	1240
784	4506	1234
785	4512	1228
786	4518	1222
787	4523	1217
788	4529	1211
789	4535	1205
790	4540	1199
791	4546	1193
792	4551	1188
793	4557	1182
794	4562	1176
795	4568	1170
796	4573	1164
797	4578	1159
798	4584	1153
799	4589	1147
800	4595	1141
801	4600	1135
802	4605	1129
803	4611	1124
804	4616	1118
805	4622	1112
806	4627	1106
807	4632	1100
808	4638	1095
809	4643	1089
810	4649	1083
811	4654	1077
812	4659	1071
813	4665	1065
814	4670	1060
815	4675	1054
816	4680	1048
817	4686	1042
818	4691	1036
819	4698	1031
820	4704	1025
821	4709	1019
822	4715	1014
823	4721	1008
824	4726	1002
825	4732	996
826	4737	991
827	4743	985
828	4749	979
829	4754	973
830	4759	967
831	4765	962
832	4770	956
833	4776	950
834	4781	944
835	4787	939
836	4792	933
837	4798	927
838	4803	921
839	4809	916
840	4814	910
841	4820	904
842	4825	898
843	4831	892
844	4836	887
845	4842	881
846	4847	875
847	4852	869
848	4859	864
849	4865	858
850	4871	852
851	4877	847
852	4883	841
853	4889	835
854	4895	830
855	4900	824
856	4906	818
857	4911	812
858	4916	807
859	4921	801
860	4927	795
861	4933	789
862	4938	784
863	4943	778
864	4948	772
865	4954	766
866	4959	760
867	4965	755
868	4971	749
869	4977	743
870	4983	738
871	4988	732
872	4994	726
873	4999	720
874	5004	714
875	5009	709
876	5015	703
877	5020	697
878	5025	691
879	5030	686
880	5036	680
881	5042	674
882	5047	668
883	5053	663
884	5058	657
885	5064	651
886	5069	645
887	5075	640
888	5080	634
889	5086	628
890	5092	623
891	5098	617
892	5103	611
893	5109	605
894	5114	600
895	5120	594
896	5125	588
897	5131	582
898	5136	577
899	5142	571
900	5147	565
901	5153	559
902	5158	554
903	5163	548
904	5168	542
905	5173	536
906	5180	531
907	5186	525
908	5192	519
909	5197	514
910	5203	508
911	5209	502
912	5214	496
913	5219	491
914	5226	485
915	5233	479
916	5238	474
917	5244	468
918	5249	462
919	5254	456
920	5259	451
921	5265	445
922	5270	439
923	5276	433
924	5281	428
925	5287	422
926	5292	416
927	5297	411
928	5303	405
929	5309	399
930	5314	393
931	5320	388
932	5325	382
933	5331	376
934	5336	370
935	5342	365
936	5347	359
937	5353	353
938	5359	348
939	5364	342
940	5369	336
941	5374	330
942	5380	325
943	5386	319
944	5391	313
945	5396	308
946	5401	302
947	5406	296
948	5411	290
949	5416	285
950	5421	279
951	5427	273
952	5432	267
953	5438	262
954	5443	256
955	5448	250
956	5454	245
957	5459	239
958	5464	233
959	5469	227
960	5475	222
961	5480	216
962	5486	210
963	5491	205
964	5497	199
965	5502	193
966	5508	187
967	5514	182
968	5519	176
969	5525	170
970	5531	165
971	5536	159
972	5541	153
973	5546	148
974	5552	142
975	5558	136
976	5563	130
977	5569	125
978	5574	119
979	5580	113
980	5585	108
981	5591	102
982	5596	96
983	5602	91
984	5607	85
985	5613	79
986	5619	74
987	5625	68
988	5631	62
